canonical_term,tier,type,current_category,part_of_speech,phrase_pos,ui_tab,bucket,proposed_category,rationale,secondary_tabs,approved
through,Tier 3 - Reference expansion,word,Uncategorized,location/preposition,,more,error,Descriptors,POS='location/preposition' with cat='Uncategorized'; directional/spatial word,,
time,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,noun,,more,error,Function/Core,cat='People/Pronouns/Possessives' (default_tab='people') doesn't match ui_tab='more'; proposed 'Function/Core' via anchor/keyword heuristic,,
together,Tier 3 - Reference expansion,word,Actions,verb/action,,more,override,Actions,category='Actions' default_tab='actions' but current ui_tab='more',,
trees,Tier 3 - Reference expansion,word,Uncategorized,noun,,things,error,Places,cat='Uncategorized' (default_tab='more') doesn't match ui_tab='things'; proposed 'Places' via anchor/keyword heuristic,,
well,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,word,,more,error,Function/Core,cat='People/Pronouns/Possessives' (default_tab='people') doesn't match ui_tab='more'; proposed 'Function/Core' via anchor/keyword heuristic,,
went,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,verb/action,,actions,error,Actions,POS='verb/action' requires category='Actions',,
were,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,verb/action,,more,error,Actions,POS='verb/action' requires category='Actions',,
what,Tier 3 - Reference expansion,word,Clothing,noun,,more,error,Question Words,cat='Clothing' (default_tab='things') doesn't match ui_tab='more'; proposed 'Question Words' via anchor/keyword heuristic,,
what's,Tier 3 - Reference expansion,word,Clothing,noun,,more,error,Question Words,cat='Clothing' (default_tab='things') doesn't match ui_tab='more'; proposed 'Question Words' via anchor/keyword heuristic,,
when,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,question word,,more,error,Question Words,POS='question word' requires category='Question Words',,
where,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,question word,,more,error,Question Words,POS='question word' requires category='Question Words',,
where's,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,question word,,more,error,Question Words,POS='question word' requires category='Question Words',,
which,Tier 3 - Reference expansion,word,Social,word,,more,error,Question Words,cat='Social' (default_tab='core') doesn't match ui_tab='more'; proposed 'Question Words' via anchor/keyword heuristic,,
while,Tier 3 - Reference expansion,word,Social,word,,more,error,Function/Core,cat='Social' (default_tab='core') doesn't match ui_tab='more'; proposed 'Function/Core' via anchor/keyword heuristic,,
whole,Tier 3 - Reference expansion,word,Descriptors,descriptor/adjective,,more,override,Descriptors,category='Descriptors' default_tab='describe' but current ui_tab='more',,
with,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,word,,more,error,Function/Core,cat='People/Pronouns/Possessives' (default_tab='people') doesn't match ui_tab='more'; proposed 'Function/Core' via anchor/keyword heuristic,,
would,Tier 3 - Reference expansion,word,Uncategorized,verb/action,,more,error,Actions,POS='verb/action' requires category='Actions',,
